,Fund_1,Fund_2,Fund_3,Fund_4,Fund_5,Fund_6,Fund_7,Fund_8,Fund_9,Fund_10,Fund_11,Fund_12,Fund_13,Fund_14,Fund_15,Fund_16,Fund_17,Fund_18,Fund_19,Fund_20,Fund_21,Fund_22,Fund_23,Fund_24,Fund_25,Fund_26,Fund_27,Fund_28,Fund_29,Fund_30,Fund_31,Fund_32,Fund_33,Fund_34,Fund_35,Fund_36,Fund_37,Fund_38,Fund_39,Fund_40
2023-01-01,-0.004759049812676419,0.015026689347808918,-0.0029492655128226164,0.017727709213444087,-0.0009051356102758705,0.005732209548198173,-0.015734722322608176,-0.007890321024406555,-0.005786395644504788,-0.006785925540202794,0.011287897925206073,-0.043716728287038535,-0.011739822927484609,-0.0012605768053307316,-0.0063442880145632395,0.0118040958007359,-0.0050642465278822706,0.003312934154487066,-0.020343518223308214,0.01883848053302725,0.013744480725844712,-0.03194835298979176,-0.01752833696696353,-0.018170817853756228,-0.013931084044917098,-0.012033605925886506,0.006281508295536024,0.0008127588029286513,0.020235826338978663,-0.00619214233513137,0.005621165701110719,-0.0029114456516593575,0.011782281252894487,-0.002015536915243781,-7.436999655545168e-05,0.005595583744414014,0.02809050847696893,0.009945996362938414,-0.00020965960037617256,-0.004158509190843679
2023-01-02,0.004286668639411894,0.022303439213050766,0.01616698412426041,-0.004594837151163402,-0.006622495495720828,-0.009700299149970847,-0.021041841435134122,-0.020158430603203274,0.03311998199965382,0.008477411828573407,0.0026652260729755194,-0.00042692983725585464,0.013266196958046277,-0.015062221845219518,0.021198583301427744,-0.010206122206545588,0.015356427473126615,0.01916098864957409,0.005596495275825125,-0.007885541112408573,0.013582213128220246,-0.01944443973274766,0.018191438765786765,-0.0029720194251296275,0.007784496970492829,0.005301729769658618,0.010989250803786722,0.022163180368585292,0.005225416855947587,-0.022212226132975608,0.0068362777964836065,0.015924337167448857,0.0036941809733950525,-0.021698288016935578,0.020717766219958956,0.016432306310590714,-0.0051550065949888275,0.0041455401525749575,0.001915329571497287,0.0028153511842357298
2023-01-03,-0.016638775671361815,-0.002707692730417983,0.020220162646873863,0.024247894344906616,-0.02444417503678591,-0.008765980505040209,-0.011276205730379945,-0.0003017100863606818,0.012577878404880326,-0.005409832341614001,0.025485432368917246,0.011625088189710107,-0.0043924655755101846,0.01304554299204953,-0.002415243458286773,0.004117903031406365,-0.00476316355086551,-0.025875596259437222,0.006930881521237695,-0.01699013356235314,0.009847416855777247,0.010300290387624797,0.008811639921526303,0.008514887685779179,-0.011769263270880865,0.0006688739939899044,0.01940725577909137,-0.010281504644935702,0.007053501287717088,-0.008411124690009703,-0.020361679882741224,-0.009794165025050747,-0.0015283816607341541,0.0016615564010614677,0.01960481225620195,0.010886633346031589,0.034703318643119485,0.021840421810050286,0.0064023452874187575,-0.0008921093785889816
2023-01-04,0.0027762227243488284,0.0007004253941382228,-0.007275051601571398,-0.007159367171420489,0.021415452646936124,0.0011975327897304027,0.012880134138486049,-0.030136327297703488,0.01567531337764488,0.00821687571560186,0.003139552930703418,-0.0015523843736857078,0.004167107295669308,-0.004483642608419346,-0.0021432297173943427,0.009135726518318317,-0.009935569027821294,0.021625607311883118,-0.007721669859649739,0.00713600213708346,-0.024207104989016424,0.007090689211635432,-0.01674444709981517,0.0017978484709868794,-0.01700311605001193,0.022762860600477174,-0.0028467730730455023,-0.007553099023143583,-0.007276288741713696,-0.00026310174349689314,0.008203537387461404,0.010991077879775395,0.0005181004198942702,0.007453260616980251,-0.010799673268549342,-0.014772023505284369,0.009683520138095909,-0.013061257164819026,-0.0027534419447851725,0.027655483318560783
2023-01-05,0.007820679133647084,-0.0071422949065216065,0.02028171551206827,0.01830708838952038,-0.007512881285337825,0.008737545618262866,-0.019090927805464657,0.002134662573606241,-0.036573040061664716,-0.018340371529030317,0.030510267554672055,-0.016260725793553147,-0.03519971902428539,-0.008136666284306574,-0.0010049123197921953,0.0023716860611253925,0.014585932957481486,-0.02726238109828778,-0.009408005245152867,-0.020022172355663403,0.02223131830355972,0.019205727512279593,-0.011976444669164891,-0.005216950770456497,0.0060802933548209665,0.012484000827840578,0.014734389309664904,-0.004421367082372625,-0.015109679425750335,0.006214336786708194,0.01590335719948743,-0.030212301184229778,0.006267465875098225,-0.007383563342415529,-0.0035548117540875946,-0.012127414979959122,-0.013747467188073846,-0.008697591804958557,-0.024928443479421455,0.01572427456871803
2023-01-06,0.02480631019352592,-0.01476054336082649,0.018175326514236704,0.010929429119863063,0.01928778963808726,-0.022630150382293924,-0.006137243993237711,0.030910079372168112,-0.002786926816733602,-0.005343721051098201,-0.009897213846594591,-0.005243401006811959,-0.006295565036131859,0.010618869754510598,0.02723808640223828,-0.0045470115062882545,0.0075229471320932394,-0.03163561503817823,0.008995900010655391,0.010301255846928963,-0.006041561923573835,0.005683416552023118,-0.031919721285594144,-0.015625126136231543,-0.02390342844837079,-0.01705467327922764,-0.010076510665680879,-0.00012205055934873992,0.0012097923332515408,0.026125350221465084,-0.0032930510553587093,0.00036256897472347,-0.0003562756952597357,-0.01774034126310489,0.006194374385457117,-0.007300024850683394,-0.000804553595296503,-0.010867269459993311,-0.004627994582660288,-0.010265813387734071
2023-01-07,-0.006570110397595946,-0.0033017377956456096,0.020058265915052217,0.02629957194708988,0.012404034040122656,0.01868453850222774,-0.005178237999998617,0.03320712156929807,-0.03316453370078849,-0.002084213690608472,-0.019914614041494975,0.0038112681037645616,0.0044523642611100245,0.020231959988346055,0.01399015407832177,-0.0016786678907469385,0.010580476732419283,0.025394975144739824,0.0029044592037413006,0.0009824770435646886,0.02020855652185694,-0.03917684687753982,0.0009614272985203941,-0.0018950848472737303,0.01462911771419858,-0.016733820817551894,0.013928388304733384,-0.018555126194770746,0.001965660219525608,0.02861656421033963,-0.012554625017006209,-0.008296610049767124,0.006455311833275034,-0.007358539727781806,0.00920965487410877,0.013402698760777482,-0.013255822560515688,0.007616967093332625,0.004736780650147335,0.0073357103267826015
2023-01-08,-0.014440488078939651,0.010100395743930568,0.017554240628618743,0.018264094300040463,-0.03196093427281472,-0.0199853682854383,0.007303316908341446,0.03944095102786115,0.018126724694594584,-0.0002410750787560877,-0.006626889359925569,-0.0021081432242274485,0.01854238083267368,0.005399410882193357,-0.01011016911926196,0.014429022622812973,0.0028946571799846185,-0.0032887287238083777,0.0005976265177492188,-0.013787047181721968,-0.011351784215162435,0.00032768107707970505,-0.016203460208534613,0.012880078671331448,-0.015394326102024153,-0.012477197622005613,-0.013534699948025435,-0.024720337717318856,-0.019854658899578936,0.009199230054746377,0.014635713822010666,-0.0192413382135374,-0.003199319487427314,-0.027220803430478224,0.015633310466312757,-0.009612860601622943,-0.013561543655529432,-0.005705001406388478,0.018997671734547125,-0.01899528633222378
2023-01-09,-0.01293758723333142,0.017466990559160005,-0.012312357516840566,0.005976433626946755,-0.009409150902468355,0.015089831918818195,-0.03290381135463502,0.01769725007855216,-0.014942122987574285,0.0007840612865690219,0.00854193702951324,0.012552458010299136,-0.013596473994756357,-0.01940360453603369,0.00422083993687454,-0.006927057300205538,0.004087799506138667,0.003480364009657684,-0.01348021579453667,-0.015452250207636884,0.0016855480969897808,-0.02257137580522802,0.00010381592820905009,-0.009208782634792493,-0.0017799505638264102,-0.021801540473200702,-0.01721522417809489,0.011523272379310358,-0.015356459794008296,0.0032641079621888395,-0.010105206076397526,-0.011800960272924077,-0.029204716324364312,0.020521407222329726,0.009832661199028902,0.010571162571406218,-0.011384122118586257,0.012230460359711351,0.002198586763501655,0.0011999893154566988
2023-01-10,-0.002868898924398557,-0.005081266737764116,-0.016660299889424787,-0.006584991624113166,0.020570672329451714,0.020513862396902168,-0.019998318813267676,-0.013517625385513878,-0.014119673247865774,0.012191951122970219,0.005494041283439147,-0.02001784878443976,0.019289940733120188,-0.009194778858798724,-0.02241090880313605,0.015171071452498608,0.005702089503085584,-0.00949163026322524,0.011713774072433557,0.0019836861320672384,0.009079002145577556,0.018190238582237988,0.02052696203238451,0.009004077586117687,0.0058654213604720905,0.017547351959024717,0.014143916601178584,0.007096945019619756,-0.002484990696044977,-0.003179483304817206,-0.002018990414490309,0.0021369198107111117,0.00011564450840827309,-0.017105504269984865,0.009511856348083268,0.025204923488527927,-0.006469355711200954,0.004554843371102185,-0.01870399464086325,-0.0157639155351357
