fund_name,sector,weight
Fund_1,Tech,0.12780212137663008
Fund_1,Fin,0.15887618189367475
Fund_1,Health,0.36939940905937185
Fund_1,Energy,0.23150929109529728
Fund_1,Cons,0.1124129965750262
Fund_2,Tech,0.47174663666589395
Fund_2,Fin,0.1755270813805206
Fund_2,Health,0.06996719857333779
Fund_2,Energy,0.025050884995170664
Fund_2,Cons,0.25770819838507686
Fund_3,Tech,0.021283841816954138
Fund_3,Fin,0.07700960434714145
Fund_3,Health,0.20069209548119513
Fund_3,Energy,0.39062118784956934
Fund_3,Cons,0.31039327050513993
Fund_4,Tech,0.015711874038231762
Fund_4,Fin,0.20488045955736528
Fund_4,Health,0.054423813721482105
Fund_4,Energy,0.34370795478714034
Fund_4,Cons,0.3812758978957805
Fund_5,Tech,0.13073299178613831
Fund_5,Fin,0.009068925434305784
Fund_5,Health,0.13300636830417256
Fund_5,Energy,0.2688939072776241
Fund_5,Cons,0.45829780719775937
Fund_6,Tech,0.20894271445107665
Fund_6,Fin,0.05818431273666952
Fund_6,Health,0.07094657067435363
Fund_6,Energy,0.04951166205030827
Fund_6,Cons,0.612414740087592
Fund_7,Tech,0.02441448424767565
Fund_7,Fin,0.19252980325880578
Fund_7,Health,0.4158814992642179
Fund_7,Energy,0.18164396880789266
Fund_7,Cons,0.18553024442140809
Fund_8,Tech,0.1649854512545637
Fund_8,Fin,0.09256098969292616
Fund_8,Health,0.25874959152243043
Fund_8,Energy,0.3244488624540999
Fund_8,Cons,0.1592551050759798
Fund_9,Tech,0.028717591849161683
Fund_9,Fin,0.24530637083660956
Fund_9,Health,0.2586467267526956
Fund_9,Energy,0.27149933950105903
Fund_9,Cons,0.19582997106047406
Fund_10,Tech,0.08779543829073766
Fund_10,Fin,0.25857088972654785
Fund_10,Health,0.4656518367946598
Fund_10,Energy,0.13622994983874165
Fund_10,Cons,0.0517518853493131
Fund_11,Tech,0.10407343161896439
Fund_11,Fin,0.050092121592414274
Fund_11,Health,0.03416446090669397
Fund_11,Energy,0.15382396630404743
Fund_11,Cons,0.6578460195778799
Fund_12,Tech,0.21605639366080168
Fund_12,Fin,0.31715448239214905
Fund_12,Health,0.3122405653269641
Fund_12,Energy,0.09005801807691394
Fund_12,Cons,0.06449054054317123
Fund_13,Tech,0.24730351592060512
Fund_13,Fin,0.3466478296121449
Fund_13,Health,0.12732508677386914
Fund_13,Energy,0.2780986707254449
Fund_13,Cons,0.000624896967935914
Fund_14,Tech,0.4355266904036453
Fund_14,Fin,0.2181432466881355
Fund_14,Health,0.019122418613027475
Fund_14,Energy,0.3162187942547164
Fund_14,Cons,0.010988850040475376
Fund_15,Tech,0.38147313644661807
Fund_15,Fin,0.07128138585097896
Fund_15,Health,0.2797743225470685
Fund_15,Energy,0.20042439831933243
Fund_15,Cons,0.06704675683600206
Fund_16,Tech,0.0018845031522264077
Fund_16,Fin,0.30725586458508863
Fund_16,Health,0.06150144759184158
Fund_16,Energy,0.0879108783768908
Fund_16,Cons,0.5414473062939527
Fund_17,Tech,0.5341595405471515
Fund_17,Fin,0.0606195847695104
Fund_17,Health,0.04462443870244357
Fund_17,Energy,0.13561683443117237
Fund_17,Cons,0.22497960154972194
Fund_18,Tech,0.11527004822124723
Fund_18,Fin,0.24999122217900804
Fund_18,Health,0.09949763760277636
Fund_18,Energy,0.040258205592886176
Fund_18,Cons,0.49498288640408217
Fund_19,Tech,0.3321267836125188
Fund_19,Fin,0.11735313234899096
Fund_19,Health,0.0964182162474018
Fund_19,Energy,0.10748117523887367
Fund_19,Cons,0.34662069255221484
Fund_20,Tech,0.09612735177591841
Fund_20,Fin,0.43441584906436487
Fund_20,Health,0.27229657559003106
Fund_20,Energy,0.07506672798835842
Fund_20,Cons,0.1220934955813272
Fund_21,Tech,0.34298798925885443
Fund_21,Fin,0.15982340113662852
Fund_21,Health,0.42237114139242465
Fund_21,Energy,0.060268362432132495
Fund_21,Cons,0.014549105779959754
Fund_22,Tech,0.10227020492001965
Fund_22,Fin,0.16918338955588416
Fund_22,Health,0.1598300357697801
Fund_22,Energy,0.1105520086931549
Fund_22,Cons,0.45816436106116115
Fund_23,Tech,0.034090800047999865
Fund_23,Fin,0.09323123470807505
Fund_23,Health,0.8452581008041302
Fund_23,Energy,0.011405924794780514
Fund_23,Cons,0.016013939645014474
Fund_24,Tech,0.05377059484335974
Fund_24,Fin,0.15782775075250746
Fund_24,Health,0.012713569270036081
Fund_24,Energy,0.3126658484008427
Fund_24,Cons,0.463022236733254
Fund_25,Tech,0.3717806462354083
Fund_25,Fin,0.1280416647921817
Fund_25,Health,0.21317331840639497
Fund_25,Energy,0.1106648356265532
Fund_25,Cons,0.17633953493946175
Fund_26,Tech,0.2023546154767499
Fund_26,Fin,0.27130307716003593
Fund_26,Health,0.034179514842512006
Fund_26,Energy,0.4732068287606415
Fund_26,Cons,0.018955963760060597
Fund_27,Tech,0.05271747011342616
Fund_27,Fin,0.024759374740772996
Fund_27,Health,0.0011309857981488581
Fund_27,Energy,0.6478992823820919
Fund_27,Cons,0.27349288696556
Fund_28,Tech,0.22883549754197444
Fund_28,Fin,0.22207340190394798
Fund_28,Health,0.3418287050853246
Fund_28,Energy,0.18079254453813384
Fund_28,Cons,0.026469850930619286
Fund_29,Tech,0.19763575293345137
Fund_29,Fin,0.22405638379065443
Fund_29,Health,0.16842395886459208
Fund_29,Energy,0.035180973297950134
Fund_29,Cons,0.37470293111335196
Fund_30,Tech,0.4519185363699286
Fund_30,Fin,0.034284622836287255
Fund_30,Health,0.2886223282986099
Fund_30,Energy,0.10771340597650007
Fund_30,Cons,0.11746110651867413
Fund_31,Tech,0.20560588482991043
Fund_31,Fin,0.18686085430457167
Fund_31,Health,0.26602102457157717
Fund_31,Energy,0.27483284290354987
Fund_31,Cons,0.06667939339039092
Fund_32,Tech,0.2616638643534143
Fund_32,Fin,0.32398079657514456
Fund_32,Health,0.1399891493820403
Fund_32,Energy,0.2237157623725264
Fund_32,Cons,0.05065042731687434
Fund_33,Tech,0.2531589436060071
Fund_33,Fin,0.19437376930757333
Fund_33,Health,0.40807712693765014
Fund_33,Energy,0.09361816635574621
Fund_33,Cons,0.05077199379302321
Fund_34,Tech,0.11712808105076133
Fund_34,Fin,0.08847306010525646
Fund_34,Health,0.17432551352285308
Fund_34,Energy,0.0747104197044775
Fund_34,Cons,0.5453629256166517
Fund_35,Tech,0.023454135289561445
Fund_35,Fin,0.044489128945752986
Fund_35,Health,0.11433507329438068
Fund_35,Energy,0.2761541483883135
Fund_35,Cons,0.5415675140819913
Fund_36,Tech,0.38908656703434746
Fund_36,Fin,0.11503954432354428
Fund_36,Health,0.39044419509667266
Fund_36,Energy,0.019191488772074845
Fund_36,Cons,0.08623820477336072
Fund_37,Tech,0.06636859053568084
Fund_37,Fin,0.27578266580157623
Fund_37,Health,0.045868824692870076
Fund_37,Energy,0.3245462540514356
Fund_37,Cons,0.2874336649184373
Fund_38,Tech,0.12536554208918263
Fund_38,Fin,0.2736249047264188
Fund_38,Health,0.015889242381616733
Fund_38,Energy,0.4126561767010811
Fund_38,Cons,0.1724641341017007
Fund_39,Tech,0.22069965536157646
Fund_39,Fin,0.15024666054403762
Fund_39,Health,0.3863959112309055
Fund_39,Energy,0.20640481043805148
Fund_39,Cons,0.03625296242542903
Fund_40,Tech,0.09252502645406391
Fund_40,Fin,0.20284503181080432
Fund_40,Health,0.23903113242427795
Fund_40,Energy,0.11108655918973702
Fund_40,Cons,0.35451225012111665
